time(micros),GSR,skin_resistance
999,147.0,32.64462809917356
1064,148.0,32.54716981132075
1129,148.0,32.54716981132075
1195,148.0,32.54716981132075
1260,148.0,32.54716981132075
1325,148.0,32.54716981132075
1390,149.0,32.44994110718493
1455,149.0,32.44994110718493
1520,150.0,32.352941176470594
1586,150.0,32.352941176470594
1650,150.0,32.352941176470594
1716,150.0,32.352941176470594
1780,150.0,32.352941176470594
1846,151.0,32.256169212690956
1911,151.0,32.256169212690956
1976,151.0,32.256169212690956
2041,151.0,32.256169212690956
2107,150.0,32.352941176470594
2171,149.0,32.44994110718493
2237,148.0,32.54716981132075
2302,146.0,32.74231678486998
2367,144.0,32.93838862559242
2433,141.0,33.23424494649227
2497,138.0,33.53221957040573
2563,134.0,33.93285371702638
2627,131.0,34.2358604091456
2693,128.0,34.54106280193237
2758,125.0,34.84848484848485
2823,123.0,35.0546780072904
2888,122.0,35.15815085158151
2954,121.0,35.26187576126675
3018,120.0,35.36585365853659
3084,120.0,35.36585365853659
3149,119.0,35.470085470085465
3214,120.0,35.36585365853659
3279,120.0,35.36585365853659
3344,121.0,35.26187576126675
3409,122.0,35.15815085158151
3475,123.0,35.0546780072904
3539,124.0,34.95145631067962
3605,125.0,34.84848484848485
3670,126.0,34.74576271186441
3735,127.0,34.64328899637243
3801,128.0,34.54106280193237
3865,130.0,34.33734939759036
3931,131.0,34.2358604091456
3996,133.0,34.03361344537815
4061,134.0,33.93285371702638
4126,136.0,33.73205741626794
4192,137.0,33.63201911589008
4256,138.0,33.53221957040573
4322,139.0,33.4326579261025
4386,140.0,33.333333333333336
4452,141.0,33.23424494649227
4517,142.0,33.135391923990504
4582,144.0,32.93838862559242
4647,144.0,32.93838862559242
4713,145.0,32.84023668639053
4777,146.0,32.74231678486998
4843,147.0,32.64462809917356
4909,148.0,32.54716981132075
4973,149.0,32.44994110718493
5039,149.0,32.44994110718493
5103,150.0,32.352941176470594
5169,150.0,32.352941176470594
5234,151.0,32.256169212690956
5299,151.0,32.256169212690956
5364,152.0,32.159624413145536
5430,152.0,32.159624413145536
5494,153.0,32.06330597889801
5560,153.0,32.06330597889801
5625,154.0,31.967213114754095
5690,155.0,31.871345029239766
5755,155.0,31.871345029239766
5820,155.0,31.871345029239766
5885,156.0,31.775700934579437
5951,156.0,31.775700934579437
6016,156.0,31.775700934579437
6081,157.0,31.680280046674444
6147,157.0,31.680280046674444
6211,157.0,31.680280046674444
6277,158.0,31.585081585081582
6342,158.0,31.585081585081582
6407,157.0,31.680280046674444
6472,158.0,31.585081585081582
6537,158.0,31.585081585081582
6602,159.0,31.49010477299185
6668,158.0,31.585081585081582
6732,159.0,31.49010477299185
6798,159.0,31.49010477299185
6863,158.0,31.585081585081582
6928,158.0,31.585081585081582
6993,157.0,31.680280046674444
7059,156.0,31.775700934579437
7123,155.0,31.871345029239766
7189,154.0,31.967213114754095
7254,152.0,32.159624413145536
7319,151.0,32.256169212690956
7385,150.0,32.352941176470594
7449,149.0,32.44994110718493
7515,148.0,32.54716981132075
7580,148.0,32.54716981132075
7645,147.0,32.64462809917356
7710,148.0,32.54716981132075
7776,147.0,32.64462809917356
7840,147.0,32.64462809917356
7906,147.0,32.64462809917356
7970,148.0,32.54716981132075
8036,148.0,32.54716981132075
8101,149.0,32.44994110718493
8166,149.0,32.44994110718493
8231,149.0,32.44994110718493
8297,150.0,32.352941176470594
8361,150.0,32.352941176470594
8427,151.0,32.256169212690956
8493,151.0,32.256169212690956
8557,152.0,32.159624413145536
8623,152.0,32.159624413145536
8687,153.0,32.06330597889801
8753,153.0,32.06330597889801
8818,154.0,31.967213114754095
8883,155.0,31.871345029239766
8948,156.0,31.775700934579437
9014,155.0,31.871345029239766
9078,156.0,31.775700934579437
9144,157.0,31.680280046674444
9209,157.0,31.680280046674444
9274,158.0,31.585081585081582
9339,158.0,31.585081585081582
9404,158.0,31.585081585081582
9469,159.0,31.49010477299185
9535,159.0,31.49010477299185
9600,159.0,31.49010477299185
9665,159.0,31.49010477299185
9731,159.0,31.49010477299185
9795,159.0,31.49010477299185
9861,159.0,31.49010477299185
9926,159.0,31.49010477299185
9991,158.0,31.585081585081582
10059,158.0,31.585081585081582
10129,157.0,31.680280046674444
10198,157.0,31.680280046674444
10267,156.0,31.775700934579437
10337,155.0,31.871345029239766
10405,154.0,31.967213114754095
10475,154.0,31.967213114754095
10545,154.0,31.967213114754095
10613,153.0,32.06330597889801
10683,153.0,32.06330597889801
10752,153.0,32.06330597889801
10821,153.0,32.06330597889801
10891,153.0,32.06330597889801
10959,153.0,32.06330597889801
11029,153.0,32.06330597889801
11099,154.0,31.967213114754095
11167,154.0,31.967213114754095
11237,154.0,31.967213114754095
11305,154.0,31.967213114754095
11375,154.0,31.967213114754095
11445,154.0,31.967213114754095
11513,154.0,31.967213114754095
11583,154.0,31.967213114754095
11652,154.0,31.967213114754095
11721,154.0,31.967213114754095
11791,154.0,31.967213114754095
11859,154.0,31.967213114754095
11929,154.0,31.967213114754095
11999,154.0,31.967213114754095
12067,155.0,31.871345029239766
12137,155.0,31.871345029239766
12206,156.0,31.775700934579437
12275,156.0,31.775700934579437
12345,157.0,31.680280046674444
12413,157.0,31.680280046674444
12483,158.0,31.585081585081582
12553,158.0,31.585081585081582
12621,159.0,31.49010477299185
12691,159.0,31.49010477299185
12760,159.0,31.49010477299185
12829,160.0,31.3953488372093
12899,160.0,31.3953488372093
12967,161.0,31.300813008130085
13037,161.0,31.300813008130085
13106,162.0,31.206496519721576
13175,162.0,31.206496519721576
13245,162.0,31.206496519721576
13314,163.0,31.11239860950174
13383,164.0,31.01851851851852
