time(micros),GSR,skin_resistance
999,535.0,6.680161943319838
1064,535.0,6.680161943319838
1130,534.0,6.726094003241492
1195,534.0,6.726094003241492
1260,534.0,6.726094003241492
1326,534.0,6.726094003241492
1390,534.0,6.726094003241492
1456,534.0,6.726094003241492
1520,534.0,6.726094003241492
1586,534.0,6.726094003241492
1651,534.0,6.726094003241492
1716,533.0,6.772100567721005
1781,534.0,6.726094003241492
1847,534.0,6.726094003241492
1911,534.0,6.726094003241492
1977,534.0,6.726094003241492
2042,534.0,6.726094003241492
2107,534.0,6.726094003241492
2172,535.0,6.680161943319838
2238,534.0,6.726094003241492
2302,534.0,6.726094003241492
2368,534.0,6.726094003241492
2434,534.0,6.726094003241492
2499,534.0,6.726094003241492
2564,534.0,6.726094003241492
2629,534.0,6.726094003241492
2695,534.0,6.726094003241492
2759,534.0,6.726094003241492
2825,535.0,6.680161943319838
2890,534.0,6.726094003241492
2955,535.0,6.680161943319838
3020,534.0,6.726094003241492
3086,535.0,6.680161943319838
3151,534.0,6.726094003241492
3217,534.0,6.726094003241492
3281,535.0,6.680161943319838
3347,535.0,6.680161943319838
3412,535.0,6.680161943319838
3477,535.0,6.680161943319838
3543,535.0,6.680161943319838
3608,535.0,6.680161943319838
3673,535.0,6.680161943319838
3738,535.0,6.680161943319838
3804,535.0,6.680161943319838
3869,535.0,6.680161943319838
3935,535.0,6.680161943319838
3999,534.0,6.726094003241492
4065,535.0,6.680161943319838
4130,535.0,6.680161943319838
4195,535.0,6.680161943319838
4260,535.0,6.680161943319838
4326,535.0,6.680161943319838
4391,535.0,6.680161943319838
4456,535.0,6.680161943319838
4521,535.0,6.680161943319838
4587,535.0,6.680161943319838
4653,535.0,6.680161943319838
4718,535.0,6.680161943319838
4784,536.0,6.634304207119741
4848,535.0,6.680161943319838
4914,536.0,6.634304207119741
4979,535.0,6.680161943319838
5045,536.0,6.634304207119741
5110,535.0,6.680161943319838
5176,535.0,6.680161943319838
5240,535.0,6.680161943319838
5306,536.0,6.634304207119741
5370,535.0,6.680161943319838
5436,536.0,6.634304207119741
5501,535.0,6.680161943319838
5567,535.0,6.680161943319838
5633,535.0,6.680161943319838
5697,535.0,6.680161943319838
5763,536.0,6.634304207119741
5828,535.0,6.680161943319838
5894,535.0,6.680161943319838
5959,535.0,6.680161943319838
6025,536.0,6.634304207119741
6090,535.0,6.680161943319838
6156,536.0,6.634304207119741
6221,536.0,6.634304207119741
6287,536.0,6.634304207119741
6352,535.0,6.680161943319838
6418,535.0,6.680161943319838
6483,536.0,6.634304207119741
6548,535.0,6.680161943319838
6614,536.0,6.634304207119741
6678,536.0,6.634304207119741
6744,536.0,6.634304207119741
6809,536.0,6.634304207119741
6875,536.0,6.634304207119741
6939,536.0,6.634304207119741
7005,536.0,6.634304207119741
7070,536.0,6.634304207119741
7136,536.0,6.634304207119741
7201,535.0,6.680161943319838
7267,536.0,6.634304207119741
7332,535.0,6.680161943319838
7398,536.0,6.634304207119741
7463,535.0,6.680161943319838
7529,535.0,6.680161943319838
7595,536.0,6.634304207119741
7660,536.0,6.634304207119741
7726,536.0,6.634304207119741
7791,536.0,6.634304207119741
7857,536.0,6.634304207119741
7922,536.0,6.634304207119741
7988,536.0,6.634304207119741
8052,536.0,6.634304207119741
8118,536.0,6.634304207119741
8183,536.0,6.634304207119741
8248,536.0,6.634304207119741
8313,536.0,6.634304207119741
8379,536.0,6.634304207119741
8444,536.0,6.634304207119741
8509,536.0,6.634304207119741
8574,536.0,6.634304207119741
8640,536.0,6.634304207119741
8706,536.0,6.634304207119741
8771,536.0,6.634304207119741
8837,536.0,6.634304207119741
8902,536.0,6.634304207119741
8968,537.0,6.588520614389652
9033,536.0,6.634304207119741
9099,536.0,6.634304207119741
9164,536.0,6.634304207119741
9230,536.0,6.634304207119741
9295,536.0,6.634304207119741
9361,536.0,6.634304207119741
9426,536.0,6.634304207119741
9492,536.0,6.634304207119741
9558,536.0,6.634304207119741
9623,536.0,6.634304207119741
9688,537.0,6.588520614389652
9753,536.0,6.634304207119741
9819,536.0,6.634304207119741
9884,536.0,6.634304207119741
9950,536.0,6.634304207119741
10017,537.0,6.588520614389652
10087,537.0,6.588520614389652
10157,536.0,6.634304207119741
10227,537.0,6.588520614389652
10297,536.0,6.634304207119741
10368,537.0,6.588520614389652
10437,537.0,6.588520614389652
10507,536.0,6.634304207119741
10577,536.0,6.634304207119741
10647,536.0,6.634304207119741
10718,537.0,6.588520614389652
10787,537.0,6.588520614389652
10858,536.0,6.634304207119741
10928,536.0,6.634304207119741
10997,536.0,6.634304207119741
11068,537.0,6.588520614389652
11138,537.0,6.588520614389652
11208,537.0,6.588520614389652
11278,537.0,6.588520614389652
11348,537.0,6.588520614389652
11418,537.0,6.588520614389652
11488,536.0,6.634304207119741
11558,537.0,6.588520614389652
11628,537.0,6.588520614389652
11699,537.0,6.588520614389652
11768,537.0,6.588520614389652
11838,537.0,6.588520614389652
11909,537.0,6.588520614389652
11978,537.0,6.588520614389652
12049,537.0,6.588520614389652
12119,537.0,6.588520614389652
12189,537.0,6.588520614389652
12259,537.0,6.588520614389652
12328,537.0,6.588520614389652
12399,537.0,6.588520614389652
12469,537.0,6.588520614389652
12539,537.0,6.588520614389652
12609,537.0,6.588520614389652
12680,537.0,6.588520614389652
12749,537.0,6.588520614389652
12819,537.0,6.588520614389652
12890,537.0,6.588520614389652
12959,537.0,6.588520614389652
13030,537.0,6.588520614389652
13100,537.0,6.588520614389652
13169,537.0,6.588520614389652
13240,537.0,6.588520614389652
13309,537.0,6.588520614389652
13380,537.0,6.588520614389652
13450,537.0,6.588520614389652
13520,537.0,6.588520614389652
13590,537.0,6.588520614389652
13660,537.0,6.588520614389652
13730,537.0,6.588520614389652
13800,537.0,6.588520614389652
13871,537.0,6.588520614389652
13940,537.0,6.588520614389652
14010,538.0,6.542810985460421
14081,537.0,6.588520614389652
14150,538.0,6.542810985460421
14221,537.0,6.588520614389652
14290,537.0,6.588520614389652
14361,537.0,6.588520614389652
14431,538.0,6.542810985460421
14500,537.0,6.588520614389652
14571,537.0,6.588520614389652
14641,537.0,6.588520614389652
14711,538.0,6.542810985460421
14781,538.0,6.542810985460421
14852,538.0,6.542810985460421
14921,537.0,6.588520614389652
14991,538.0,6.542810985460421
15062,537.0,6.588520614389652
15131,538.0,6.542810985460421
15202,537.0,6.588520614389652
15271,537.0,6.588520614389652
15341,538.0,6.542810985460421
15412,538.0,6.542810985460421
15481,538.0,6.542810985460421
15552,538.0,6.542810985460421
15622,538.0,6.542810985460421
15692,538.0,6.542810985460421
15762,538.0,6.542810985460421
15832,537.0,6.588520614389652
15902,538.0,6.542810985460421
15972,538.0,6.542810985460421
16043,538.0,6.542810985460421
16112,538.0,6.542810985460421
16183,538.0,6.542810985460421
16252,538.0,6.542810985460421
16322,538.0,6.542810985460421
16393,538.0,6.542810985460421
16462,538.0,6.542810985460421
16533,538.0,6.542810985460421
16603,537.0,6.588520614389652
16672,538.0,6.542810985460421
16743,538.0,6.542810985460421
16813,538.0,6.542810985460421
16883,538.0,6.542810985460421
16953,538.0,6.542810985460421
17024,538.0,6.542810985460421
17093,538.0,6.542810985460421
17163,538.0,6.542810985460421
17233,538.0,6.542810985460421
17303,538.0,6.542810985460421
17374,538.0,6.542810985460421
17443,538.0,6.542810985460421
17514,538.0,6.542810985460421
17584,538.0,6.542810985460421
17653,538.0,6.542810985460421
17724,538.0,6.542810985460421
17794,539.0,6.497175141242938
17864,538.0,6.542810985460421
17934,539.0,6.497175141242938
18003,539.0,6.497175141242938
18074,539.0,6.497175141242938
18144,539.0,6.497175141242938
18214,539.0,6.497175141242938
18284,540.0,6.451612903225806
18355,539.0,6.497175141242938
18424,539.0,6.497175141242938
18494,539.0,6.497175141242938
18565,539.0,6.497175141242938
18634,539.0,6.497175141242938
18705,539.0,6.497175141242938
18775,539.0,6.497175141242938
18845,539.0,6.497175141242938
18915,539.0,6.497175141242938
18984,539.0,6.497175141242938
19055,539.0,6.497175141242938
19125,539.0,6.497175141242938
19195,539.0,6.497175141242938
19265,539.0,6.497175141242938
19335,540.0,6.451612903225806
19405,540.0,6.451612903225806
19475,539.0,6.497175141242938
19546,539.0,6.497175141242938
19615,539.0,6.497175141242938
19686,539.0,6.497175141242938
19756,539.0,6.497175141242938
19825,538.0,6.542810985460421
19896,538.0,6.542810985460421
19965,538.0,6.542810985460421
20036,538.0,6.542810985460421
20106,538.0,6.542810985460421
20176,538.0,6.542810985460421
20246,538.0,6.542810985460421
20316,536.0,6.634304207119741
20386,536.0,6.634304207119741
20456,535.0,6.680161943319838
20527,534.0,6.726094003241492
20596,534.0,6.726094003241492
20666,532.0,6.818181818181818
20737,531.0,6.864337936636881
20806,530.0,6.910569105691057
20877,529.0,6.956875508543532
20946,529.0,6.956875508543532
21017,529.0,6.956875508543532
21087,529.0,6.956875508543532
21156,530.0,6.910569105691057
21227,530.0,6.910569105691057
21297,530.0,6.910569105691057
21367,530.0,6.910569105691057
21437,530.0,6.910569105691057
21508,529.0,6.956875508543532
21577,529.0,6.956875508543532
21647,529.0,6.956875508543532
21718,528.0,7.0032573289902285
21787,528.0,7.0032573289902285
21858,528.0,7.0032573289902285
21927,528.0,7.0032573289902285
21997,527.0,7.049714751426243
22068,527.0,7.049714751426243
22137,527.0,7.049714751426243
22208,527.0,7.049714751426243
22278,527.0,7.049714751426243
22348,526.0,7.096247960848288
22418,526.0,7.096247960848288
22488,526.0,7.096247960848288
22558,526.0,7.096247960848288
22628,526.0,7.096247960848288
22699,527.0,7.049714751426243
