time(micros),GSR,skin_resistance
999,565.0,5.335968379446641
1064,566.0,5.292259083728278
1130,565.0,5.335968379446641
1195,566.0,5.292259083728278
1260,566.0,5.292259083728278
1326,566.0,5.292259083728278
1390,566.0,5.292259083728278
1456,566.0,5.292259083728278
1520,566.0,5.292259083728278
1586,565.0,5.335968379446641
1651,566.0,5.292259083728278
1716,566.0,5.292259083728278
1781,566.0,5.292259083728278
1847,566.0,5.292259083728278
1911,566.0,5.292259083728278
1977,566.0,5.292259083728278
2042,566.0,5.292259083728278
2107,566.0,5.292259083728278
2172,566.0,5.292259083728278
2237,566.0,5.292259083728278
2302,566.0,5.292259083728278
2368,566.0,5.292259083728278
2433,566.0,5.292259083728278
2498,566.0,5.292259083728278
2564,566.0,5.292259083728278
2628,566.0,5.292259083728278
2694,566.0,5.292259083728278
2759,566.0,5.292259083728278
2824,566.0,5.292259083728278
2889,566.0,5.292259083728278
2955,565.0,5.335968379446641
3019,565.0,5.335968379446641
3085,565.0,5.335968379446641
3150,565.0,5.335968379446641
3216,564.0,5.379746835443038
3280,564.0,5.379746835443038
3346,564.0,5.379746835443038
3411,563.0,5.423594615993666
3476,563.0,5.423594615993666
3542,562.0,5.467511885895404
3607,563.0,5.423594615993666
3672,563.0,5.423594615993666
3737,564.0,5.379746835443038
3803,563.0,5.423594615993666
3868,563.0,5.423594615993666
3933,563.0,5.423594615993666
3998,563.0,5.423594615993666
4064,562.0,5.467511885895404
4128,562.0,5.467511885895404
4194,562.0,5.467511885895404
4258,562.0,5.467511885895404
4324,562.0,5.467511885895404
4389,562.0,5.467511885895404
4455,562.0,5.467511885895404
4519,562.0,5.467511885895404
4585,562.0,5.467511885895404
4651,562.0,5.467511885895404
4715,564.0,5.379746835443038
4781,566.0,5.292259083728278
4846,568.0,5.205047318611987
4912,568.0,5.205047318611987
4976,566.0,5.292259083728278
5042,563.0,5.423594615993666
5107,562.0,5.467511885895404
5173,563.0,5.423594615993666
5238,562.0,5.467511885895404
5303,561.0,5.5114988104678835
5368,561.0,5.5114988104678835
5433,561.0,5.5114988104678835
5498,560.0,5.555555555555556
5564,560.0,5.555555555555556
5629,559.0,5.599682287529785
5694,560.0,5.555555555555556
5760,560.0,5.555555555555556
5825,560.0,5.555555555555556
5891,559.0,5.599682287529785
5955,560.0,5.555555555555556
6021,559.0,5.599682287529785
6086,559.0,5.599682287529785
6152,559.0,5.599682287529785
6218,559.0,5.599682287529785
6284,559.0,5.599682287529785
6349,559.0,5.599682287529785
6415,559.0,5.599682287529785
6479,559.0,5.599682287529785
6545,559.0,5.599682287529785
6610,559.0,5.599682287529785
6675,558.0,5.643879173290938
6740,559.0,5.599682287529785
6806,559.0,5.599682287529785
6872,560.0,5.555555555555556
6936,559.0,5.599682287529785
7002,559.0,5.599682287529785
7067,559.0,5.599682287529785
7133,560.0,5.555555555555556
7198,559.0,5.599682287529785
7264,560.0,5.555555555555556
7329,560.0,5.555555555555556
7395,560.0,5.555555555555556
7460,560.0,5.555555555555556
7526,559.0,5.599682287529785
7591,560.0,5.555555555555556
7657,559.0,5.599682287529785
7723,560.0,5.555555555555556
7788,560.0,5.555555555555556
7853,560.0,5.555555555555556
7918,560.0,5.555555555555556
7984,560.0,5.555555555555556
8049,560.0,5.555555555555556
8115,559.0,5.599682287529785
8180,560.0,5.555555555555556
8245,560.0,5.555555555555556
8310,560.0,5.555555555555556
8376,559.0,5.599682287529785
8441,560.0,5.555555555555556
8506,559.0,5.599682287529785
8571,559.0,5.599682287529785
8638,559.0,5.599682287529785
8702,559.0,5.599682287529785
8769,559.0,5.599682287529785
8834,558.0,5.643879173290938
8899,559.0,5.599682287529785
8966,559.0,5.599682287529785
9030,559.0,5.599682287529785
9096,559.0,5.599682287529785
9161,558.0,5.643879173290938
9228,559.0,5.599682287529785
9293,558.0,5.643879173290938
9359,558.0,5.643879173290938
9424,558.0,5.643879173290938
9490,559.0,5.599682287529785
9555,559.0,5.599682287529785
9621,558.0,5.643879173290938
9687,558.0,5.643879173290938
9752,558.0,5.643879173290938
9818,558.0,5.643879173290938
9883,558.0,5.643879173290938
9949,558.0,5.643879173290938
10015,558.0,5.643879173290938
10085,558.0,5.643879173290938
10156,558.0,5.643879173290938
10225,558.0,5.643879173290938
10295,558.0,5.643879173290938
10365,558.0,5.643879173290938
10435,558.0,5.643879173290938
10506,558.0,5.643879173290938
10575,558.0,5.643879173290938
10646,558.0,5.643879173290938
10716,558.0,5.643879173290938
10785,558.0,5.643879173290938
10856,558.0,5.643879173290938
10926,558.0,5.643879173290938
10996,558.0,5.643879173290938
11066,557.0,5.688146380270486
11137,557.0,5.688146380270486
11206,558.0,5.643879173290938
11276,558.0,5.643879173290938
11346,557.0,5.688146380270486
11416,557.0,5.688146380270486
11487,557.0,5.688146380270486
11556,557.0,5.688146380270486
11626,557.0,5.688146380270486
11697,557.0,5.688146380270486
11766,556.0,5.732484076433121
11837,556.0,5.732484076433121
11907,556.0,5.732484076433121
11977,556.0,5.732484076433121
12047,556.0,5.732484076433121
12116,556.0,5.732484076433121
12187,556.0,5.732484076433121
12257,556.0,5.732484076433121
12327,556.0,5.732484076433121
12397,556.0,5.732484076433121
12468,556.0,5.732484076433121
12537,556.0,5.732484076433121
12607,556.0,5.732484076433121
12678,556.0,5.732484076433121
12747,556.0,5.732484076433121
12818,556.0,5.732484076433121
12888,556.0,5.732484076433121
12957,556.0,5.732484076433121
13028,556.0,5.732484076433121
13097,556.0,5.732484076433121
13168,556.0,5.732484076433121
13238,556.0,5.732484076433121
13308,556.0,5.732484076433121
13378,556.0,5.732484076433121
13448,556.0,5.732484076433121
13518,556.0,5.732484076433121
13588,557.0,5.688146380270486
13659,557.0,5.688146380270486
13728,557.0,5.688146380270486
13799,557.0,5.688146380270486
13869,556.0,5.732484076433121
13938,556.0,5.732484076433121
14009,557.0,5.688146380270486
14078,557.0,5.688146380270486
14149,557.0,5.688146380270486
14219,557.0,5.688146380270486
14288,557.0,5.688146380270486
14359,557.0,5.688146380270486
14429,557.0,5.688146380270486
14499,556.0,5.732484076433121
14569,556.0,5.732484076433121
14640,557.0,5.688146380270486
14709,557.0,5.688146380270486
14779,557.0,5.688146380270486
14850,556.0,5.732484076433121
14919,556.0,5.732484076433121
14990,556.0,5.732484076433121
15059,557.0,5.688146380270486
15130,557.0,5.688146380270486
15200,557.0,5.688146380270486
15269,557.0,5.688146380270486
15340,557.0,5.688146380270486
15410,557.0,5.688146380270486
15480,557.0,5.688146380270486
15550,556.0,5.732484076433121
15620,557.0,5.688146380270486
15690,556.0,5.732484076433121
15760,557.0,5.688146380270486
15831,556.0,5.732484076433121
15900,556.0,5.732484076433121
15971,556.0,5.732484076433121
16040,557.0,5.688146380270486
16110,557.0,5.688146380270486
16181,557.0,5.688146380270486
16250,556.0,5.732484076433121
16321,557.0,5.688146380270486
16391,557.0,5.688146380270486
16461,556.0,5.732484076433121
16531,557.0,5.688146380270486
16601,556.0,5.732484076433121
16671,557.0,5.688146380270486
16741,556.0,5.732484076433121
16812,556.0,5.732484076433121
16881,557.0,5.688146380270486
16951,556.0,5.732484076433121
17021,557.0,5.688146380270486
17091,556.0,5.732484076433121
17162,556.0,5.732484076433121
17231,556.0,5.732484076433121
17302,556.0,5.732484076433121
17372,556.0,5.732484076433121
17441,556.0,5.732484076433121
17512,556.0,5.732484076433121
17582,556.0,5.732484076433121
17652,556.0,5.732484076433121
17722,556.0,5.732484076433121
17793,556.0,5.732484076433121
17862,557.0,5.688146380270486
17932,556.0,5.732484076433121
18002,556.0,5.732484076433121
18072,556.0,5.732484076433121
18143,556.0,5.732484076433121
18212,556.0,5.732484076433121
18282,556.0,5.732484076433121
18353,556.0,5.732484076433121
18422,556.0,5.732484076433121
18493,556.0,5.732484076433121
18563,556.0,5.732484076433121
18633,556.0,5.732484076433121
18703,556.0,5.732484076433121
18772,556.0,5.732484076433121
18843,556.0,5.732484076433121
18913,555.0,5.7768924302788855
18983,555.0,5.7768924302788855
19053,555.0,5.7768924302788855
19124,555.0,5.7768924302788855
19193,555.0,5.7768924302788855
19263,555.0,5.7768924302788855
19334,555.0,5.7768924302788855
19403,555.0,5.7768924302788855
19474,555.0,5.7768924302788855
19544,555.0,5.7768924302788855
19613,555.0,5.7768924302788855
19684,554.0,5.821371610845295
19753,554.0,5.821371610845295
19824,555.0,5.7768924302788855
19894,554.0,5.821371610845295
19964,554.0,5.821371610845295
20034,554.0,5.821371610845295
20104,554.0,5.821371610845295
20174,554.0,5.821371610845295
20244,554.0,5.821371610845295
20315,554.0,5.821371610845295
20384,554.0,5.821371610845295
20455,554.0,5.821371610845295
20525,554.0,5.821371610845295
20594,555.0,5.7768924302788855
20665,554.0,5.821371610845295
20734,554.0,5.821371610845295
20805,555.0,5.7768924302788855
20875,554.0,5.821371610845295
20944,555.0,5.7768924302788855
21015,555.0,5.7768924302788855
21085,555.0,5.7768924302788855
21155,555.0,5.7768924302788855
21225,555.0,5.7768924302788855
21296,555.0,5.7768924302788855
21365,555.0,5.7768924302788855
21435,555.0,5.7768924302788855
21506,555.0,5.7768924302788855
21575,555.0,5.7768924302788855
21646,555.0,5.7768924302788855
21715,555.0,5.7768924302788855
21786,555.0,5.7768924302788855
21856,555.0,5.7768924302788855
21925,555.0,5.7768924302788855
21996,555.0,5.7768924302788855
22066,554.0,5.821371610845295
22136,554.0,5.821371610845295
22206,554.0,5.821371610845295
22276,554.0,5.821371610845295
22346,554.0,5.821371610845295
22416,554.0,5.821371610845295
22487,554.0,5.821371610845295
22556,554.0,5.821371610845295
22627,553.0,5.865921787709497
22696,553.0,5.865921787709497
22766,553.0,5.865921787709497
22837,553.0,5.865921787709497
22906,553.0,5.865921787709497
22977,553.0,5.865921787709497
23047,552.0,5.9105431309904155
23117,553.0,5.865921787709497
23187,553.0,5.865921787709497
23257,553.0,5.865921787709497
23327,553.0,5.865921787709497
23397,553.0,5.865921787709497
23468,552.0,5.9105431309904155
23537,553.0,5.865921787709497
23607,553.0,5.865921787709497
23677,553.0,5.865921787709497
23747,553.0,5.865921787709497
23818,553.0,5.865921787709497
23887,553.0,5.865921787709497
23958,553.0,5.865921787709497
24028,553.0,5.865921787709497
24097,553.0,5.865921787709497
24168,553.0,5.865921787709497
24238,553.0,5.865921787709497
24308,553.0,5.865921787709497
24378,553.0,5.865921787709497
24449,553.0,5.865921787709497
24518,554.0,5.821371610845295
24588,553.0,5.865921787709497
24658,554.0,5.821371610845295
24728,554.0,5.821371610845295
24799,553.0,5.865921787709497
24868,553.0,5.865921787709497
24938,553.0,5.865921787709497
25009,554.0,5.821371610845295
25078,554.0,5.821371610845295
25149,554.0,5.821371610845295
25219,554.0,5.821371610845295
25289,553.0,5.865921787709497
25359,553.0,5.865921787709497
25428,553.0,5.865921787709497
25499,553.0,5.865921787709497
25569,553.0,5.865921787709497
25639,553.0,5.865921787709497
25709,553.0,5.865921787709497
25780,552.0,5.9105431309904155
25849,551.0,5.95523581135092
25919,551.0,5.95523581135092
25990,551.0,5.95523581135092
26059,550.0,6.0
26130,550.0,6.0
26200,550.0,6.0
26269,550.0,6.0
26340,550.0,6.0
26409,550.0,6.0
26480,550.0,6.0
26550,550.0,6.0
26620,550.0,6.0
26690,550.0,6.0
26760,550.0,6.0
26830,550.0,6.0
26900,550.0,6.0
26971,550.0,6.0
27040,550.0,6.0
27111,550.0,6.0
27181,550.0,6.0
27250,550.0,6.0
27321,551.0,5.95523581135092
27390,550.0,6.0
27461,550.0,6.0
27531,551.0,5.95523581135092
27600,551.0,5.95523581135092
27671,551.0,5.95523581135092
27741,551.0,5.95523581135092
27811,551.0,5.95523581135092
27881,551.0,5.95523581135092
27952,551.0,5.95523581135092
28021,551.0,5.95523581135092
28091,551.0,5.95523581135092
28162,551.0,5.95523581135092
28231,551.0,5.95523581135092
28302,551.0,5.95523581135092
28371,552.0,5.9105431309904155
28442,551.0,5.95523581135092
28512,552.0,5.9105431309904155
28581,551.0,5.95523581135092
28652,552.0,5.9105431309904155
28722,552.0,5.9105431309904155
28792,552.0,5.9105431309904155
28862,554.0,5.821371610845295
28932,550.0,6.0
29002,551.0,5.95523581135092
29072,554.0,5.821371610845295
29143,554.0,5.821371610845295
29212,552.0,5.9105431309904155
29283,551.0,5.95523581135092
29352,551.0,5.95523581135092
29422,550.0,6.0
29493,550.0,6.0
29562,555.0,5.7768924302788855
29633,555.0,5.7768924302788855
29703,554.0,5.821371610845295
29773,554.0,5.821371610845295
29843,553.0,5.865921787709497
29913,553.0,5.865921787709497
29983,553.0,5.865921787709497
30053,553.0,5.865921787709497
30124,552.0,5.9105431309904155
30193,552.0,5.9105431309904155
30263,552.0,5.9105431309904155
30333,551.0,5.95523581135092
30403,551.0,5.95523581135092
30474,550.0,6.0
30543,550.0,6.0
30614,550.0,6.0
30684,549.0,6.044835868694956
30753,549.0,6.044835868694956
30824,548.0,6.089743589743589
30894,548.0,6.089743589743589
30964,547.0,6.134723336006415
31034,546.0,6.179775280898876
31105,549.0,6.044835868694956
31174,544.0,6.270096463022507
31244,543.0,6.315366049879324
31314,543.0,6.315366049879324
31384,543.0,6.315366049879324
31455,543.0,6.315366049879324
31524,543.0,6.315366049879324
31594,543.0,6.315366049879324
31665,543.0,6.315366049879324
31734,543.0,6.315366049879324
31805,542.0,6.360708534621578
