EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
32.64462809917356,32.64452904884061,32.960203747532276,-0.3156746986974659,0,0,0.0,0.0,0.0,0,0.0
32.54716981132075,32.594675668816215,32.95700659269363,-0.3623309238832296,0,0,0.0,0.0,0.0,0,0.0
32.54716981132075,32.560388072482525,32.95372970638457,-0.3933416339078654,0,0,0.0,0.0,0.0,0,0.0
32.54716981132075,32.54402637292962,32.950372014942765,-0.4063456420189754,0,0,0.0,0.0,0.0,0,0.0
32.54716981132075,32.53334346719984,32.946932421249606,-0.4135889540556128,0,0,0.0,0.0,0.0,0,0.0
32.54716981132075,32.51238589064455,32.94340980360712,-0.43102391296842035,0,0,0.0,0.0,0.0,0,0.0
32.44994110718493,32.474761781606276,32.939803014861795,-0.4650412332613871,0,0,0.0,0.0,0.0,0,0.0
32.44994110718493,32.42821616640194,32.93611088116593,-0.5078947147698658,0,0,0.0,0.0,0.0,0,0.0
32.352941176470594,32.38756687973752,32.93233220011538,-0.5447653203837306,0,0,0.0,0.0,0.0,0,0.0
32.352941176470594,32.36248402800544,32.92846573854502,-0.565981710545443,0,0,0.0,0.0,0.0,0,0.0
32.352941176470594,32.35015313172322,32.924510230550354,-0.5743570988329896,0,0,0.0,0.0,0.0,0,0.0
32.352941176470594,32.33854164982883,32.92046437612257,-0.5819227262995736,0,0,0.0,0.0,0.0,0,0.0
32.352941176470594,32.31728648096329,32.9163268403137,-0.5990403593562204,0,0,0.0,0.0,0.0,0,0.0
32.256169212690956,32.28709224943186,32.91209625249635,-0.6250040030702685,0,0,0.0,0.0,0.0,0,0.0
32.256169212690956,32.260317313262576,32.90777120534517,-0.6474538920883621,0,0,0.0,0.0,0.0,0,0.0
32.256169212690956,32.25333841870697,32.90335025360331,-0.650011834902098,1,0,0.0,0.0,0.0,0,0.0
32.256169212690956,32.27774724746572,32.89883191318058,-0.6210846657205941,0,0,0.0,0.0,0.0,0,0.0
32.352941176470594,32.33715105163695,32.89421466133848,-0.5570636097072477,0,0,0.0,0.0,0.0,0,0.0
32.44994110718493,32.43087086302081,32.88949693857539,-0.4586260755602803,0,0,0.0,0.0,0.0,0,0.0
32.54716981132075,32.56025617296447,32.88467715252795,-0.32442097956916865,0,0,0.0,0.0,0.0,0,0.0
32.74231678486998,32.7317191204376,32.87975368401716,-0.1480345635852486,0,0,0.0,0.0,0.0,0,0.0
32.93838862559242,32.95369436590421,32.874724895403254,0.07896947049527991,0,0,0.0,0.0,0.0,0,0.0
33.23424494649227,33.22963500038995,32.86958914155527,0.3600458588290165,0,0,0.0,0.0,0.0,0,0.0
33.53221957040573,33.55190923663033,32.86434478375426,0.6875644528704138,0,0,0.0,0.0,0.0,0,0.0
33.93285371702638,33.90052896065667,32.858990206569764,1.0415387540812713,0,0,0.0,0.0,0.0,0,0.0
34.2358604091456,34.24736104518996,32.85352383720853,1.3938372079758146,0,0,0.0,0.0,0.0,0,0.0
34.54106280193237,34.56358595527509,32.84794416623847,1.7156417890310067,0,0,0.0,0.0,0.0,0,0.0
34.84848484848485,34.8274957776527,32.84224976819099,1.9852460094560938,0,0,0.0,0.0,0.0,0,0.0
35.0546780072904,35.03015579605741,32.83643932051501,2.1937164755367657,0,0,0.0,0.0,0.0,0,0.0
35.15815085158151,35.176361829047174,32.83051161972371,2.3458502093178173,0,0,0.0,0.0,0.0,0,0.0
35.26187576126675,35.27937201306922,32.82446559421333,2.4549064188502387,0,0,0.0,0.0,0.0,0,0.0
35.36585365853659,35.35180872972619,32.818300313894994,2.533508415825535,0,0,0.0,0.0,0.0,0,0.0
35.36585365853659,35.398631111915094,32.81201499719223,2.586616114717183,0,0,0.0,0.0,0.0,0,0.0
35.470085470085465,35.41671164975663,32.80560901597608,2.611102633774854,0,1,2.611102633774854,3.2611144686769524,0.9,0,0.0
35.36585365853659,35.400320387109176,32.79908189872428,2.6012384883791944,0,0,0.0,0.0,0.0,0,0.0
35.36585365853659,35.34778560748332,32.79243333186305,2.5553522756145437,0,0,0.0,0.0,0.0,0,0.0
35.26187576126675,35.264811187014374,32.78566315912827,2.4791480278803633,0,0,0.0,0.0,0.0,0,0.0
35.15815085158151,35.163034044577984,32.778771378939815,2.38426266563241,0,0,0.0,0.0,0.0,0,0.0
35.0546780072904,35.05532735042864,32.7717581400982,2.2835692103246776,0,0,0.0,0.0,0.0,0,0.0
34.95145631067962,34.95060652810892,32.76462373637953,2.1859827917236245,0,0,0.0,0.0,0.0,0,0.0
34.84848484848485,34.85066093536822,32.75736860066405,2.093292334698389,0,0,0.0,0.0,0.0,0,0.0
34.74576271186441,34.75036549839304,32.74999329904984,2.0003721993373973,0,0,0.0,0.0,0.0,0,0.0
34.64328899637243,34.6410865996602,32.74249852506616,1.8985880745882187,0,0,0.0,0.0,0.0,0,0.0
34.54106280193237,34.515612409241726,32.734885093771894,1.780727315463992,0,0,0.0,0.0,0.0,0,0.0
34.33734939759036,34.37206506929949,32.727153935353634,1.644911133939985,0,0,0.0,0.0,0.0,0,0.0
34.2358604091456,34.21492817057834,32.71930608789639,1.495622082676062,0,0,0.0,0.0,0.0,0,0.0
34.03361344537815,34.053333397843666,32.71134268924425,1.3419907085935214,0,0,0.0,0.0,0.0,0,0.0
33.93285371702638,33.89801553001729,32.70326496817718,1.1947505618342136,0,0,0.0,0.0,0.0,0,0.0
